danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,category
0.702,0.888,8,-4.845,0,0.0915,0.0739,0.0,0.102,0.935,180.021,121600,4,Brazilian Funk
0.892,0.729,10,-6.676,0,0.123,0.0239,0.527,0.151,0.701,127.926,136386,4,Brazilian Funk
0.778,0.571,9,-4.776,0,0.0788,0.0423,0.0,0.0964,0.554,134.999,110222,4,Brazilian Funk
0.865,0.692,9,-3.915,1,0.145,0.00799,0.0072,0.0708,0.73,149.901,133140,4,Brazilian Funk
0.777,0.946,5,-0.603,1,0.0762,0.191,0.101,0.0894,0.499,130.072,208615,4,Brazilian Funk
0.664,0.705,2,-6.084,1,0.0411,0.647,0.0,0.0738,0.667,133.96,206979,4,Brazilian Funk
0.851,0.416,0,-4.533,1,0.248,0.514,3.96e-05,0.0878,0.742,86.558,107077,5,Brazilian Funk
0.574,0.719,9,-4.208,1,0.0272,0.281,1.11e-05,0.969,0.486,133.977,286686,4,Brazilian Funk
0.764,0.752,8,-3.713,0,0.0711,0.18,0.0,0.0701,0.698,100.066,187200,4,Brazilian Funk
0.815,0.696,5,-5.219,0,0.0407,0.0129,0.0011,0.056,0.961,127.989,213125,4,Brazilian Funk
0.711,0.575,6,-3.953,1,0.42,0.337,0.0,0.0732,0.735,110.787,474353,5,Brazilian Funk
0.794,0.928,11,-2.773,0,0.333,0.112,9.06e-06,0.179,0.703,149.937,171694,4,Brazilian Funk
0.525,0.717,6,-6.414,1,0.0796,0.0827,0.0,0.0378,0.7,129.742,151348,4,Brazilian Funk
0.632,0.561,11,-6.027,0,0.0787,0.719,2.64e-06,0.0688,0.294,169.736,340235,4,Brazilian Funk
0.601,0.699,6,-1.891,0,0.372,0.666,0.0,0.123,0.654,99.914,230400,4,Brazilian Funk
0.843,0.442,6,-3.544,0,0.479,0.604,1.22e-06,0.0742,0.629,86.349,134769,3,Brazilian Funk
0.836,0.551,1,-6.515,1,0.119,0.273,0.00109,0.122,0.351,134.998,156444,4,Brazilian Funk
0.712,0.813,1,-4.958,1,0.351,0.0257,2.44e-05,0.279,0.665,180.144,129371,4,Brazilian Funk
0.817,0.752,1,0.147,0,0.0687,0.0147,0.19,0.258,0.415,130.006,140308,4,Brazilian Funk
0.845,0.954,8,-3.656,0,0.124,0.345,5.21e-05,0.115,0.63,137.995,160396,4,Brazilian Funk
0.727,0.786,5,-5.755,0,0.291,0.491,1.52e-05,0.145,0.682,134.571,122667,4,Brazilian Funk
0.764,0.483,5,-6.777,0,0.107,0.64,0.0,0.311,0.697,128.045,135166,4,Brazilian Funk
0.788,0.635,1,-5.96,0,0.0493,0.0291,4.98e-05,0.0807,0.603,131.936,163636,4,Brazilian Funk
0.859,0.579,1,-4.386,0,0.198,0.15,0.0,0.0781,0.666,94.973,185342,4,Brazilian Funk
0.798,0.695,9,-4.111,0,0.105,0.317,0.000396,0.232,0.569,144.882,157838,4,Brazilian Funk
0.688,0.603,7,-2.837,1,0.303,0.458,0.0,0.137,0.708,82.456,126712,5,Brazilian Funk
0.883,0.506,5,-7.089,0,0.0497,0.0355,0.000756,0.0963,0.277,120.018,163400,4,Brazilian Funk
0.711,0.486,4,-5.837,0,0.201,0.533,0.109,0.0929,0.594,86.651,151385,5,Brazilian Funk
