ids,message
6P1mkNAmgihFwFRBhpaev3,Brazil
5Qqpplbu8ROd71c0brQxyy,Brazil
6FllOXq1UDCFDt1V4YvN3K,Brazil
4t4V2ptzeV94uXjUS1X18F,Brazil
4WXVqLSRHF4ypdiBngbcqU,Brazil
6xW61JP2f3hcsbOwn7dzi5,Brazil
2hloKDkwGLjtYvAoqn39gV,Brazil
156LKAN2oh16qflL5oz4tO,Brazil
4eOZLlPpkrnvm8EmU20IqM,Brazil
4F3XVx6fmZvWLBqmBG1gxg,Brazil
0U9CZWq6umZsN432nh3WWT,Brazil
6RqEGo7zvc8g31ZyG1Mm6Q,Brazil
2xs2TwrlfamtW0DQqId0M5,Brazil
3syxcxgRLd25yPYfG8qsot,Brazil
3smtwkthoDwPYDtxS3UrIk,Brazil
2Doe6AaIpyDy4JvFTsxSDn,Brazil
4b3zlZQaDrpabJcqIo92uD,Brazil
4dGx53NJZJyuuLP5ownH1p,Brazil
58UG7KIB6t6pZA4VMHBytT,Brazil
2IUZNW8TPTZCJ4ZHY4OfEX,Brazil
7HrDxxY2b7vOKxJHtqdXN6,Brazil
1lcq5kIcGIAUPrhTH73RSt,Brazil
1ACqzmTSro4ZaP08zENzyy,Brazil
6PVU4xWp7EBdrYgULuSuSL,Brazil
6ispUK6ZFslsmc8Z3Uimaa,Brazil
2BfDOZLtOL79e6L6QphWlS,Brazil
6tz8TSnb1wk2avJCiw6tsW,Brazil
49LrGkdbdqe9WWiR7OMCkY,Brazil
6dwBglhRdkwcb2CL9dHdJs,Brazil
7GYzHfMGpwPQYB2QxqK1Io,Brazil
2SFcDfkE1MRXZfl4LIwscm,Brazil
106SKHXoytRADjpxHBkJpV,Brazil
5SwMUVvDgxiHhl9S23Euci,Brazil
1S1WZmrwbmmOwDRaw95eno,Brazil
0x0M2oMS5y48Gseaz6KX6w,Brazil
0bPP5cDG1ZnbAVCEa3ZbQ1,Brazil
7nAlDrfMQAeO5UXwjEml95,Brazil
4A59ygOlOd3V0GbyEmUxKs,Brazil
1NcqLEg2r2LXqMVbam2BJD,Brazil
6BWWgcNJWXQ4qRuzY5LzBP,Brazil
68a3F3b3M7ro0sna5hAjPh,Brazil
7hfFQvyv9uPPIY4GSHDcQo,Brazil
2LA2EvpxdC33cignxvKkNt,Brazil
6m51sam9gIqRMbJEKW4ADe,Brazil
2NfAoUHZHODYSxuCZX4qaf,Brazil
3pLyNmLlw6uRrKaNwMnXOR,Brazil
1V2RBDA7cvLniTAt3fQZoC,Brazil
1MAveYqPQN88vAvsrHCCCw,Brazil
2kFaWbpzQzpaJ0H6PskR6k,Brazil
0gg3QtCcPZn4aJ0D7dRNul,Brazil
1ljK7B5aTI458owVWBppRp,Brazil
410lHm3hmpvvQMxjq5pHvM,Brazil
1RGluLu2l8NMZHyOg0rxiu,Brazil
1qrv3zVc0SRGyCAYHTXFhA,Brazil
0Kl8AuDEnnEA7UtCKov4Op,Brazil
6XvFnICxXsVc8OK4eh1E9b,Brazil
6iLVE0VWAaT9LcJQsyZ9JU,Brazil
6drlqBh6BeYZinmYQ9qR2n,Brazil
74DKhVs1mFJGpdcpWOntVT,Brazil
0ZVWliWjMmYFxQe9U63Y5W,Brazil
7GjAXYuxjuXPbQJzRnNdob,Brazil
54u86CmMqGI1rRuULlTqaB,Brazil
2BlFIe0712LBUtTHxbqjme,Brazil
1Unc6luL5ueLO3t8I5YtpP,Brazil
2lKiWWoeqOHhXwyZT8flw6,Brazil
5ZpV0fbUEMDaacLCOtDWjO,Brazil
6QxaJjXCxZSGKq98arP8Nw,Brazil
2xVe3wMbesHcOhqW8OoyS8,Brazil
3AH9Eok8N2BIGNUNBg1APv,Brazil
0O358QfVCqB6oN2HP7abkg,Brazil
4HBaK1oMKuH6KYEVCJq1pg,Brazil
47zHQVLf1JANzOYVX2bsVB,Brazil
5tDZvfCT14AJW5sM1t81iD,Brazil
7o00LMD8A69Ghc2KznnRFL,Brazil
2h57Y9zXYOZPrZQFflBSkN,Brazil
6VpGzXV2kAxB59UOGGl4yP,Brazil
4a93j42XAyX9tfR3lIlMLB,Brazil
5NsIWuO8yute6RHF3Ij7cE,Brazil
4RInpfmS5zuJ8xKjrfwOaI,Brazil
22qTwnv9sDRqauI3txYUSf,Brazil
2YyQIxL1U8zyN09bxZnL5t,Brazil
1dGxOpMQknNgkD5d9BCObF,Brazil
51uirMnJ9sO1sxqrTqy1fP,Brazil
7HLxTNn9psg9mipna5QjIC,Brazil
3fpsR525Hmk4eBm5wfJIQW,Brazil
5A2PGUJvo4euS7n6Bu6C9u,Brazil
77eAHEGsex2IyIyUGI1TTP,Brazil
3VCfmjE0oEMYQUil14wd0J,Brazil
4VvsTSxSSAu8IRBpt3iDMR,Brazil
4yEKHiUQA70cjfWnEL2m13,Brazil
409bxok0eao5dfqJfL3Mot,Brazil
2SoMuOk34QwKEfn3RsA60R,Brazil
4cRSit9wzI1XfV0PB7GVSQ,Brazil
7mwHk3vhKoVuzJxPFCjoRY,Brazil
36OnXKUU9pAKRYs9jfusbl,Brazil
2fvwEBdCFhFD7IO3IX3bIw,Brazil
2W9PRczUyBnRi8t4wzpwwq,Brazil
5T34BcD9g2JLASC9HuaMlP,Brazil
3WOErrC9fsgv1x9rig0Co8,Brazil
0RWkB6OSSKRH9ChUof0ITQ,Brazil
5aH9yQIcGLtxjDBUhMRkSi,Brazil
4s4u2eH7wfzvxWV4CwKzsS,Brazil
51K9AGSwKC6QTEMt7ic35E,Brazil
2sKdvtNeQ3D2Lt6ZCHNNSa,Brazil
6vLJZzxkOy6dqO1abqsJeM,Brazil
0cEUrAqLYJafXksIpIBov4,Brazil
